Thu Aug 15 13:16:20 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:89:00.0 Off |                    0 |
| N/A   33C    P0              54W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A      2616      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 1.778 seconds, CFL: 7.50e-01
i:  12200, sim time: 6.027 hours, wall time: 1.912 minutes, progress 5.022680548012101, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12300, sim time: 6.077 hours, wall time: 1.922 minutes, progress 5.063917916104231, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12400, sim time: 6.126 hours, wall time: 1.932 minutes, progress 5.105155361443287, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12500, sim time: 6.176 hours, wall time: 1.942 minutes, progress 5.14639271939131, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12600, sim time: 6.225 hours, wall time: 1.952 minutes, progress 5.187630181518716, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12700, sim time: 6.274 hours, wall time: 1.969 minutes, progress 5.2285396959681245, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12800, sim time: 6.324 hours, wall time: 1.979 minutes, progress 5.269777034569955, Δt: 1.781 seconds, CFL: 7.50e-01
i:  12900, sim time: 6.373 hours, wall time: 1.989 minutes, progress 5.311014407738729, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13000, sim time: 6.423 hours, wall time: 1.999 minutes, progress 5.352251855601101, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13100, sim time: 6.472 hours, wall time: 2.009 minutes, progress 5.393489328752291, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13200, sim time: 6.521 hours, wall time: 2.020 minutes, progress 5.434398807800583, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13300, sim time: 6.571 hours, wall time: 2.030 minutes, progress 5.47563625342717, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13400, sim time: 6.620 hours, wall time: 2.040 minutes, progress 5.51687374785971, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13500, sim time: 6.670 hours, wall time: 2.050 minutes, progress 5.5581112464540405, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13600, sim time: 6.719 hours, wall time: 2.060 minutes, progress 5.5993487753523645, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13700, sim time: 6.768 hours, wall time: 2.083 minutes, progress 5.640257826446863, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13800, sim time: 6.818 hours, wall time: 2.093 minutes, progress 5.6814952456904315, Δt: 1.781 seconds, CFL: 7.50e-01
i:  13900, sim time: 6.867 hours, wall time: 2.103 minutes, progress 5.722732811406965, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14000, sim time: 6.917 hours, wall time: 2.113 minutes, progress 5.76397038477686, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14100, sim time: 6.966 hours, wall time: 2.124 minutes, progress 5.805207958140738, Δt: 1.781 seconds, CFL: 7.50e-01
