Mon Aug 19 23:04:43 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:1B:00.0 Off |                    0 |
| N/A   33C    P0              58W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A      3203      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt:  49.538 ns, CFL: 7.50e-01
i:   5300, sim time: 262.549 μs, wall time: 2.571 minutes, progress 1.519380028355679e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   5400, sim time: 267.503 μs, wall time: 2.582 minutes, progress 1.548047576060488e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   5500, sim time: 272.456 μs, wall time: 2.592 minutes, progress 1.5767151237652977e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   5600, sim time: 277.410 μs, wall time: 2.603 minutes, progress 1.6053826714701073e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   5700, sim time: 282.364 μs, wall time: 2.613 minutes, progress 1.634050219174917e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   5800, sim time: 287.318 μs, wall time: 2.623 minutes, progress 1.6627177668797264e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   5900, sim time: 292.271 μs, wall time: 2.634 minutes, progress 1.691385314584536e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   6000, sim time: 297.225 μs, wall time: 2.644 minutes, progress 1.7200528622893456e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   6100, sim time: 302.179 μs, wall time: 2.654 minutes, progress 1.748720409994155e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   6200, sim time: 307.133 μs, wall time: 2.665 minutes, progress 1.7773879576989647e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   6300, sim time: 312.086 μs, wall time: 2.675 minutes, progress 1.806055505403774e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   6400, sim time: 317.040 μs, wall time: 2.685 minutes, progress 1.8347230531085836e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   6500, sim time: 321.994 μs, wall time: 2.696 minutes, progress 1.8633906008133935e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   6600, sim time: 326.948 μs, wall time: 2.706 minutes, progress 1.892058148518203e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   6700, sim time: 331.901 μs, wall time: 2.717 minutes, progress 1.9207256962230126e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   6800, sim time: 336.855 μs, wall time: 2.727 minutes, progress 1.949393243927822e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   6900, sim time: 341.809 μs, wall time: 2.737 minutes, progress 1.9780607916326315e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   7000, sim time: 346.763 μs, wall time: 2.748 minutes, progress 2.006728339337441e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   7100, sim time: 351.716 μs, wall time: 2.758 minutes, progress 2.0353958870422506e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   7200, sim time: 356.670 μs, wall time: 2.768 minutes, progress 2.0640634347470602e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   7300, sim time: 361.624 μs, wall time: 2.779 minutes, progress 2.0927309824518698e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   7400, sim time: 366.578 μs, wall time: 2.789 minutes, progress 2.1213985301566793e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   7500, sim time: 371.531 μs, wall time: 2.800 minutes, progress 2.150066077861489e-8, Δt:  49.538 ns, CFL: 7.50e-01
i:   7600, sim time: 376.485 μs, wall time: 2.810 minutes, progress 2.1787336255662985e-8, Δt:  49.538 ns, CFL: 7.50e-01
