Mon Aug 19 23:04:32 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:89:00.0 Off |                    0 |
| N/A   36C    P0              58W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A     25789      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 3.549 seconds, CFL: 7.50e-01
i:  14000, sim time: 13.721 hours, wall time: 6.055 minutes, progress 2.858514965223189, Δt: 3.546 seconds, CFL: 7.50e-01
i:  14100, sim time: 13.819 hours, wall time: 6.065 minutes, progress 2.8789364568961724, Δt: 3.545 seconds, CFL: 7.50e-01
i:  14200, sim time: 13.917 hours, wall time: 6.075 minutes, progress 2.899305555555556, Δt: 3.543 seconds, CFL: 7.50e-01
i:  14300, sim time: 14.015 hours, wall time: 6.086 minutes, progress 2.9197458047407046, Δt: 3.547 seconds, CFL: 7.50e-01
i:  14400, sim time: 14.113 hours, wall time: 6.096 minutes, progress 2.9401816114267225, Δt: 3.545 seconds, CFL: 7.50e-01
i:  14500, sim time: 14.211 hours, wall time: 6.106 minutes, progress 2.960617581626954, Δt: 3.544 seconds, CFL: 7.50e-01
i:  14600, sim time: 14.309 hours, wall time: 6.117 minutes, progress 2.981065206790299, Δt: 3.544 seconds, CFL: 7.50e-01
i:  14700, sim time: 14.407 hours, wall time: 6.127 minutes, progress 3.001493792610344, Δt: 3.544 seconds, CFL: 7.50e-01
i:  14800, sim time: 14.505 hours, wall time: 6.138 minutes, progress 3.0218589205558826, Δt: 3.544 seconds, CFL: 7.50e-01
i:  14900, sim time: 14.603 hours, wall time: 6.148 minutes, progress 3.0422981154427107, Δt: 3.545 seconds, CFL: 7.50e-01
i:  15000, sim time: 14.700 hours, wall time: 6.158 minutes, progress 3.062525672181931, Δt: 3.543 seconds, CFL: 7.50e-01
i:  15100, sim time: 14.798 hours, wall time: 6.168 minutes, progress 3.0829688404349715, Δt: 3.545 seconds, CFL: 7.50e-01
i:  15200, sim time: 14.896 hours, wall time: 6.178 minutes, progress 3.103405318556176, Δt: 3.544 seconds, CFL: 7.50e-01
i:  15300, sim time: 14.994 hours, wall time: 6.189 minutes, progress 3.1238321879164026, Δt: 3.541 seconds, CFL: 7.50e-01
i:  15400, sim time: 15.091 hours, wall time: 6.199 minutes, progress 3.1440007110953587, Δt: 3.541 seconds, CFL: 7.50e-01
i:  15500, sim time: 15.189 hours, wall time: 6.210 minutes, progress 3.1644413767957853, Δt: 3.545 seconds, CFL: 7.50e-01
i:  15600, sim time: 15.287 hours, wall time: 6.220 minutes, progress 3.1848648091866947, Δt: 3.539 seconds, CFL: 7.50e-01
i:  15700, sim time: 15.386 hours, wall time: 6.230 minutes, progress 3.205316151841936, Δt: 3.546 seconds, CFL: 7.50e-01
i:  15800, sim time: 15.484 hours, wall time: 6.240 minutes, progress 3.2257447921089986, Δt: 3.542 seconds, CFL: 7.50e-01
i:  15900, sim time: 15.582 hours, wall time: 6.251 minutes, progress 3.246177318389429, Δt: 3.544 seconds, CFL: 7.50e-01
i:  16000, sim time: 15.679 hours, wall time: 6.261 minutes, progress 3.2665521276874365, Δt: 3.540 seconds, CFL: 7.50e-01
i:  16100, sim time: 15.778 hours, wall time: 6.271 minutes, progress 3.2869874350640322, Δt: 3.540 seconds, CFL: 7.50e-01
i:  16200, sim time: 15.876 hours, wall time: 6.282 minutes, progress 3.307419068898751, Δt: 3.539 seconds, CFL: 7.50e-01
i:  16300, sim time: 15.974 hours, wall time: 6.292 minutes, progress 3.3278550934505056, Δt: 3.540 seconds, CFL: 7.50e-01
i:  16400, sim time: 16.072 hours, wall time: 6.302 minutes, progress 3.3482918543526607, Δt: 3.541 seconds, CFL: 7.50e-01
i:  16500, sim time: 16.170 hours, wall time: 6.313 minutes, progress 3.3686687711233754, Δt: 3.532 seconds, CFL: 7.50e-01
i:  16600, sim time: 16.268 hours, wall time: 6.324 minutes, progress 3.3891047638953875, Δt: 3.541 seconds, CFL: 7.50e-01
i:  16700, sim time: 16.366 hours, wall time: 6.334 minutes, progress 3.409538223810847, Δt: 3.539 seconds, CFL: 7.50e-01
i:  16800, sim time: 16.464 hours, wall time: 6.344 minutes, progress 3.429977636920479, Δt: 3.540 seconds, CFL: 7.50e-01
i:  16900, sim time: 16.562 hours, wall time: 6.354 minutes, progress 3.450403012264079, Δt: 3.541 seconds, CFL: 7.50e-01
i:  17000, sim time: 16.660 hours, wall time: 6.365 minutes, progress 3.4708584294443865, Δt: 3.542 seconds, CFL: 7.50e-01
i:  17100, sim time: 16.758 hours, wall time: 6.375 minutes, progress 3.491222553459157, Δt: 3.541 seconds, CFL: 7.50e-01
i:  17200, sim time: 16.856 hours, wall time: 6.386 minutes, progress 3.511658991458792, Δt: 3.543 seconds, CFL: 7.50e-01
i:  17300, sim time: 16.953 hours, wall time: 6.396 minutes, progress 3.5318861431158353, Δt: 3.539 seconds, CFL: 7.50e-01
i:  17400, sim time: 17.050 hours, wall time: 6.406 minutes, progress 3.5521089491827356, Δt: 3.536 seconds, CFL: 7.50e-01
i:  17500, sim time: 17.148 hours, wall time: 6.416 minutes, progress 3.5725285117162766, Δt: 3.538 seconds, CFL: 7.50e-01
i:  17600, sim time: 17.246 hours, wall time: 6.427 minutes, progress 3.5929726906363384, Δt: 3.534 seconds, CFL: 7.50e-01
i:  17700, sim time: 17.344 hours, wall time: 6.437 minutes, progress 3.6133628955658823, Δt: 3.536 seconds, CFL: 7.50e-01
i:  17800, sim time: 17.442 hours, wall time: 6.447 minutes, progress 3.6337916448543317, Δt: 3.535 seconds, CFL: 7.50e-01
i:  17900, sim time: 17.540 hours, wall time: 6.458 minutes, progress 3.654236238704709, Δt: 3.543 seconds, CFL: 7.50e-01
i:  18000, sim time: 17.638 hours, wall time: 6.468 minutes, progress 3.674670917910687, Δt: 3.541 seconds, CFL: 7.50e-01
i:  18100, sim time: 17.737 hours, wall time: 6.478 minutes, progress 3.695104827114969, Δt: 3.539 seconds, CFL: 7.50e-01
