Mon Aug 19 23:04:34 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:89:00.0 Off |                    0 |
| N/A   31C    P0              57W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A      3281      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 1.778 seconds, CFL: 7.50e-01
i:   7200, sim time: 3.550 hours, wall time: 5.406 minutes, progress 0.7395721906585617, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7300, sim time: 3.599 hours, wall time: 5.416 minutes, progress 0.7498245047711649, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7400, sim time: 3.649 hours, wall time: 5.426 minutes, progress 0.7601264832571605, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7500, sim time: 3.698 hours, wall time: 5.437 minutes, progress 0.7703776806137074, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7600, sim time: 3.747 hours, wall time: 5.447 minutes, progress 0.7806771955469982, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7700, sim time: 3.796 hours, wall time: 5.458 minutes, progress 0.7909330592290934, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7800, sim time: 3.846 hours, wall time: 5.468 minutes, progress 0.8011864325210135, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7900, sim time: 3.895 hours, wall time: 5.479 minutes, progress 0.8114871547678228, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8000, sim time: 3.944 hours, wall time: 5.489 minutes, progress 0.8217398164118248, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8100, sim time: 3.994 hours, wall time: 5.500 minutes, progress 0.8320410727286882, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8200, sim time: 4.043 hours, wall time: 5.510 minutes, progress 0.8422940717423617, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8300, sim time: 4.092 hours, wall time: 5.521 minutes, progress 0.8525484603616459, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8400, sim time: 4.142 hours, wall time: 5.531 minutes, progress 0.862848861242777, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8500, sim time: 4.191 hours, wall time: 5.541 minutes, progress 0.873102321826463, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8600, sim time: 4.240 hours, wall time: 5.552 minutes, progress 0.8834023418226012, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8700, sim time: 4.290 hours, wall time: 5.562 minutes, progress 0.893655129319014, Δt: 1.779 seconds, CFL: 7.50e-01
i:   8800, sim time: 4.339 hours, wall time: 5.573 minutes, progress 0.9039105639421458, Δt: 1.779 seconds, CFL: 7.50e-01
i:   8900, sim time: 4.388 hours, wall time: 5.583 minutes, progress 0.9142067499960539, Δt: 1.779 seconds, CFL: 7.50e-01
i:   9000, sim time: 4.437 hours, wall time: 5.593 minutes, progress 0.9244639448931304, Δt: 1.779 seconds, CFL: 7.50e-01
i:   9100, sim time: 4.487 hours, wall time: 5.604 minutes, progress 0.9347607360522215, Δt: 1.779 seconds, CFL: 7.50e-01
i:   9200, sim time: 4.536 hours, wall time: 5.614 minutes, progress 0.945015663627388, Δt: 1.779 seconds, CFL: 7.50e-01
i:   9300, sim time: 4.585 hours, wall time: 5.625 minutes, progress 0.9552730206667914, Δt: 1.779 seconds, CFL: 7.50e-01
i:   9400, sim time: 4.635 hours, wall time: 5.635 minutes, progress 0.9655679834084906, Δt: 1.778 seconds, CFL: 7.50e-01
i:   9500, sim time: 4.684 hours, wall time: 5.645 minutes, progress 0.975824209008762, Δt: 1.778 seconds, CFL: 7.50e-01
i:   9600, sim time: 4.733 hours, wall time: 5.656 minutes, progress 0.986116322182525, Δt: 1.778 seconds, CFL: 7.50e-01
i:   9700, sim time: 4.783 hours, wall time: 5.666 minutes, progress 0.9963783144489248, Δt: 1.779 seconds, CFL: 7.50e-01
i:   9800, sim time: 4.832 hours, wall time: 5.676 minutes, progress 1.0066694263459024, Δt: 1.778 seconds, CFL: 7.50e-01
i:   9900, sim time: 4.881 hours, wall time: 5.687 minutes, progress 1.0169271263376347, Δt: 1.779 seconds, CFL: 7.50e-01
i:  10000, sim time: 4.930 hours, wall time: 5.697 minutes, progress 1.0270840287535348, Δt: 1.778 seconds, CFL: 7.50e-01
i:  10100, sim time: 4.979 hours, wall time: 5.708 minutes, progress 1.0373768416863451, Δt: 1.779 seconds, CFL: 7.50e-01
i:  10200, sim time: 5.029 hours, wall time: 5.718 minutes, progress 1.047637235982295, Δt: 1.779 seconds, CFL: 7.50e-01
i:  10300, sim time: 5.078 hours, wall time: 5.729 minutes, progress 1.057931766500797, Δt: 1.779 seconds, CFL: 7.50e-01
i:  10400, sim time: 5.127 hours, wall time: 5.739 minutes, progress 1.0680865559079313, Δt: 1.779 seconds, CFL: 7.50e-01
i:  10500, sim time: 5.176 hours, wall time: 5.750 minutes, progress 1.0783446360743778, Δt: 1.779 seconds, CFL: 7.50e-01
i:  10600, sim time: 5.225 hours, wall time: 5.760 minutes, progress 1.0886383241879634, Δt: 1.778 seconds, CFL: 7.50e-01
i:  10700, sim time: 5.275 hours, wall time: 5.770 minutes, progress 1.0988960410846067, Δt: 1.778 seconds, CFL: 7.50e-01
i:  10800, sim time: 5.324 hours, wall time: 5.781 minutes, progress 1.109187998642981, Δt: 1.779 seconds, CFL: 7.50e-01
i:  10900, sim time: 5.373 hours, wall time: 5.791 minutes, progress 1.119448857223411, Δt: 1.779 seconds, CFL: 7.50e-01
i:  11000, sim time: 5.423 hours, wall time: 5.802 minutes, progress 1.129707528746441, Δt: 1.779 seconds, CFL: 7.50e-01
i:  11100, sim time: 5.472 hours, wall time: 5.812 minutes, progress 1.139999555256504, Δt: 1.778 seconds, CFL: 7.50e-01
