Thu Aug 15 18:50:47 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:62:00.0 Off |                    0 |
| N/A   34C    P0              56W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A     64792      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 1.778 seconds, CFL: 7.50e-01
i:   4900, sim time: 2.421 hours, wall time: 58.245 seconds, progress 0.504403392492307, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5000, sim time: 2.471 hours, wall time: 58.852 seconds, progress 0.5147075807818168, Δt: 1.780 seconds, CFL: 7.50e-01
i:   5100, sim time: 2.520 hours, wall time: 59.510 seconds, progress 0.524954753524769, Δt: 1.780 seconds, CFL: 7.50e-01
i:   5200, sim time: 2.569 hours, wall time: 1.002 minutes, progress 0.5352591501740215, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5300, sim time: 2.619 hours, wall time: 1.012 minutes, progress 0.5455636447453804, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5400, sim time: 2.668 hours, wall time: 1.022 minutes, progress 0.5558685592020388, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5500, sim time: 2.718 hours, wall time: 1.033 minutes, progress 0.5661733982647017, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5600, sim time: 2.767 hours, wall time: 1.043 minutes, progress 0.5764202265930224, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5700, sim time: 2.816 hours, wall time: 1.053 minutes, progress 0.5867248415275987, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5800, sim time: 2.866 hours, wall time: 1.064 minutes, progress 0.5970297677548941, Δt: 1.781 seconds, CFL: 7.50e-01
i:   5900, sim time: 2.915 hours, wall time: 1.074 minutes, progress 0.6073339885503929, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6000, sim time: 2.965 hours, wall time: 1.084 minutes, progress 0.6176382154761206, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6100, sim time: 3.014 hours, wall time: 1.095 minutes, progress 0.6278852197599467, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6200, sim time: 3.063 hours, wall time: 1.105 minutes, progress 0.6381897521322388, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6300, sim time: 3.113 hours, wall time: 1.115 minutes, progress 0.6484939235472849, Δt: 1.781 seconds, CFL: 7.50e-01
i:   6400, sim time: 3.162 hours, wall time: 1.125 minutes, progress 0.6587976895484905, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6500, sim time: 3.212 hours, wall time: 1.136 minutes, progress 0.66910032157581, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6600, sim time: 3.260 hours, wall time: 1.146 minutes, progress 0.6792468672531655, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6700, sim time: 3.310 hours, wall time: 1.156 minutes, progress 0.6895499515931642, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6800, sim time: 3.359 hours, wall time: 1.167 minutes, progress 0.6998539280928797, Δt: 1.780 seconds, CFL: 7.50e-01
i:   6900, sim time: 3.409 hours, wall time: 1.177 minutes, progress 0.710157398489215, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7000, sim time: 3.458 hours, wall time: 1.187 minutes, progress 0.7204613116706605, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7100, sim time: 3.507 hours, wall time: 1.198 minutes, progress 0.7307122373713201, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7200, sim time: 3.557 hours, wall time: 1.208 minutes, progress 0.7410164902687948, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7300, sim time: 3.606 hours, wall time: 1.218 minutes, progress 0.7513208644461188, Δt: 1.781 seconds, CFL: 7.50e-01
i:   7400, sim time: 3.656 hours, wall time: 1.228 minutes, progress 0.7616247162606649, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7500, sim time: 3.705 hours, wall time: 1.238 minutes, progress 0.7719281704390963, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7600, sim time: 3.754 hours, wall time: 1.249 minutes, progress 0.7821772562861028, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7700, sim time: 3.804 hours, wall time: 1.259 minutes, progress 0.7924802730599503, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7800, sim time: 3.853 hours, wall time: 1.270 minutes, progress 0.8027838416215748, Δt: 1.780 seconds, CFL: 7.50e-01
i:   7900, sim time: 3.903 hours, wall time: 1.280 minutes, progress 0.8130871145942437, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8000, sim time: 3.952 hours, wall time: 1.290 minutes, progress 0.8233903879294676, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8100, sim time: 4.001 hours, wall time: 1.301 minutes, progress 0.8336424582177272, Δt: 1.781 seconds, CFL: 7.50e-01
i:   8200, sim time: 4.051 hours, wall time: 1.311 minutes, progress 0.8439457417390226, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8300, sim time: 4.100 hours, wall time: 1.321 minutes, progress 0.8542479755162662, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8400, sim time: 4.150 hours, wall time: 1.331 minutes, progress 0.8645510780883006, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8500, sim time: 4.199 hours, wall time: 1.341 minutes, progress 0.8748547371309358, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8600, sim time: 4.249 hours, wall time: 1.352 minutes, progress 0.8851578227695593, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8700, sim time: 4.298 hours, wall time: 1.362 minutes, progress 0.895410258353858, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8800, sim time: 4.347 hours, wall time: 1.373 minutes, progress 0.9057127810552991, Δt: 1.780 seconds, CFL: 7.50e-01
i:   8900, sim time: 4.397 hours, wall time: 1.383 minutes, progress 0.9160158658850311, Δt: 1.780 seconds, CFL: 7.50e-01
i:   9000, sim time: 4.446 hours, wall time: 1.393 minutes, progress 0.9263194699052077, Δt: 1.781 seconds, CFL: 7.50e-01
i:   9100, sim time: 4.496 hours, wall time: 1.403 minutes, progress 0.936623608658097, Δt: 1.780 seconds, CFL: 7.50e-01
i:   9200, sim time: 4.545 hours, wall time: 1.414 minutes, progress 0.9468761174270436, Δt: 1.780 seconds, CFL: 7.50e-01
i:   9300, sim time: 4.594 hours, wall time: 1.424 minutes, progress 0.9571793464882467, Δt: 1.780 seconds, CFL: 7.50e-01
i:   9400, sim time: 4.644 hours, wall time: 1.435 minutes, progress 0.9674814746354626, Δt: 1.780 seconds, CFL: 7.50e-01
i:   9500, sim time: 4.693 hours, wall time: 1.445 minutes, progress 0.9777829660350796, Δt: 1.780 seconds, CFL: 7.50e-01
i:   9600, sim time: 4.743 hours, wall time: 1.455 minutes, progress 0.9880848950177292, Δt: 1.780 seconds, CFL: 7.50e-01
i:   9700, sim time: 4.792 hours, wall time: 1.466 minutes, progress 0.9983406212280249, Δt: 1.780 seconds, CFL: 7.50e-01
i:   9800, sim time: 4.841 hours, wall time: 1.476 minutes, progress 1.0086438222496747, Δt: 1.780 seconds, CFL: 7.50e-01
i:   9900, sim time: 4.891 hours, wall time: 1.486 minutes, progress 1.0189469674701492, Δt: 1.780 seconds, CFL: 7.50e-01
i:  10000, sim time: 4.940 hours, wall time: 1.496 minutes, progress 1.0292502587212666, Δt: 1.780 seconds, CFL: 7.50e-01
i:  10100, sim time: 4.990 hours, wall time: 1.506 minutes, progress 1.0395523866886895, Δt: 1.780 seconds, CFL: 7.50e-01
i:  10200, sim time: 5.039 hours, wall time: 1.517 minutes, progress 1.0498046785132664, Δt: 1.780 seconds, CFL: 7.50e-01
i:  10300, sim time: 5.089 hours, wall time: 1.527 minutes, progress 1.0601057806162106, Δt: 1.780 seconds, CFL: 7.50e-01
i:  10400, sim time: 5.138 hours, wall time: 1.538 minutes, progress 1.0704075206657973, Δt: 1.780 seconds, CFL: 7.50e-01
i:  10500, sim time: 5.187 hours, wall time: 1.548 minutes, progress 1.0807104347576562, Δt: 1.780 seconds, CFL: 7.50e-01
i:  10600, sim time: 5.237 hours, wall time: 1.558 minutes, progress 1.0910136132189405, Δt: 1.780 seconds, CFL: 7.50e-01
i:  10700, sim time: 5.286 hours, wall time: 1.569 minutes, progress 1.1012707394024719, Δt: 1.780 seconds, CFL: 7.50e-01
i:  10800, sim time: 5.336 hours, wall time: 1.579 minutes, progress 1.1115732566472023, Δt: 1.780 seconds, CFL: 7.50e-01
i:  10900, sim time: 5.385 hours, wall time: 1.589 minutes, progress 1.1218741745908134, Δt: 1.780 seconds, CFL: 7.50e-01
i:  11000, sim time: 5.434 hours, wall time: 1.599 minutes, progress 1.132174481310166, Δt: 1.780 seconds, CFL: 7.50e-01
i:  11100, sim time: 5.484 hours, wall time: 1.609 minutes, progress 1.1424751338990637, Δt: 1.780 seconds, CFL: 7.50e-01
i:  11200, sim time: 5.533 hours, wall time: 1.620 minutes, progress 1.1527349222908188, Δt: 1.780 seconds, CFL: 7.50e-01
i:  11300, sim time: 5.583 hours, wall time: 1.630 minutes, progress 1.1630369135320637, Δt: 1.780 seconds, CFL: 7.50e-01
i:  11400, sim time: 5.632 hours, wall time: 1.641 minutes, progress 1.1733380545489087, Δt: 1.780 seconds, CFL: 7.50e-01
i:  11500, sim time: 5.681 hours, wall time: 1.651 minutes, progress 1.1836380476880541, Δt: 1.780 seconds, CFL: 7.50e-01
i:  11600, sim time: 5.731 hours, wall time: 1.661 minutes, progress 1.1939388297634235, Δt: 1.780 seconds, CFL: 7.50e-01
i:  11700, sim time: 5.780 hours, wall time: 1.672 minutes, progress 1.2042002908102494, Δt: 1.780 seconds, CFL: 7.50e-01
i:  11800, sim time: 5.830 hours, wall time: 1.682 minutes, progress 1.2145002254477624, Δt: 1.780 seconds, CFL: 7.50e-01
i:  11900, sim time: 5.879 hours, wall time: 1.692 minutes, progress 1.22479998884251, Δt: 1.780 seconds, CFL: 7.50e-01
i:  12000, sim time: 5.928 hours, wall time: 1.702 minutes, progress 1.2351004798046719, Δt: 1.780 seconds, CFL: 7.50e-01
i:  12100, sim time: 5.978 hours, wall time: 1.712 minutes, progress 1.2454006690868522, Δt: 1.780 seconds, CFL: 7.50e-01
i:  12200, sim time: 6.027 hours, wall time: 1.723 minutes, progress 1.2556649858654452, Δt: 1.780 seconds, CFL: 7.50e-01
i:  12300, sim time: 6.077 hours, wall time: 1.733 minutes, progress 1.265964781404025, Δt: 1.780 seconds, CFL: 7.50e-01
i:  12400, sim time: 6.126 hours, wall time: 1.744 minutes, progress 1.2762651707843238, Δt: 1.780 seconds, CFL: 7.50e-01
i:  12500, sim time: 6.176 hours, wall time: 1.754 minutes, progress 1.2865646467515117, Δt: 1.780 seconds, CFL: 7.50e-01
i:  12600, sim time: 6.225 hours, wall time: 1.764 minutes, progress 1.2968646871169907, Δt: 1.780 seconds, CFL: 7.50e-01
i:  12700, sim time: 6.274 hours, wall time: 1.775 minutes, progress 1.3071302150593929, Δt: 1.780 seconds, CFL: 7.50e-01
i:  12800, sim time: 6.324 hours, wall time: 1.785 minutes, progress 1.317429150284275, Δt: 1.780 seconds, CFL: 7.50e-01
i:  12900, sim time: 6.373 hours, wall time: 1.795 minutes, progress 1.3277297868629805, Δt: 1.780 seconds, CFL: 7.50e-01
i:  13000, sim time: 6.423 hours, wall time: 1.805 minutes, progress 1.3380306721507524, Δt: 1.780 seconds, CFL: 7.50e-01
i:  13100, sim time: 6.472 hours, wall time: 1.815 minutes, progress 1.348331005614821, Δt: 1.780 seconds, CFL: 7.50e-01
i:  13200, sim time: 6.521 hours, wall time: 1.826 minutes, progress 1.3585966137131547, Δt: 1.780 seconds, CFL: 7.50e-01
i:  13300, sim time: 6.571 hours, wall time: 1.837 minutes, progress 1.36889735026986, Δt: 1.780 seconds, CFL: 7.50e-01
i:  13400, sim time: 6.620 hours, wall time: 1.847 minutes, progress 1.3791975315715004, Δt: 1.780 seconds, CFL: 7.50e-01
i:  13500, sim time: 6.670 hours, wall time: 1.857 minutes, progress 1.3894983030771901, Δt: 1.780 seconds, CFL: 7.50e-01
i:  13600, sim time: 6.719 hours, wall time: 1.867 minutes, progress 1.3997994300913708, Δt: 1.780 seconds, CFL: 7.50e-01
i:  13700, sim time: 6.768 hours, wall time: 1.878 minutes, progress 1.4100614515180796, Δt: 1.780 seconds, CFL: 7.50e-01
i:  13800, sim time: 6.818 hours, wall time: 1.888 minutes, progress 1.420362474073441, Δt: 1.780 seconds, CFL: 7.50e-01
i:  13900, sim time: 6.867 hours, wall time: 1.898 minutes, progress 1.4306628394666874, Δt: 1.780 seconds, CFL: 7.50e-01
i:  14000, sim time: 6.917 hours, wall time: 1.908 minutes, progress 1.4409624441510656, Δt: 1.780 seconds, CFL: 7.50e-01
i:  14100, sim time: 6.966 hours, wall time: 1.918 minutes, progress 1.4512600109768996, Δt: 1.779 seconds, CFL: 7.50e-01
i:  14200, sim time: 7.015 hours, wall time: 1.929 minutes, progress 1.461525981892815, Δt: 1.780 seconds, CFL: 7.50e-01
i:  14300, sim time: 7.065 hours, wall time: 1.939 minutes, progress 1.471825157131694, Δt: 1.780 seconds, CFL: 7.50e-01
i:  14400, sim time: 7.114 hours, wall time: 1.950 minutes, progress 1.4821252664820266, Δt: 1.780 seconds, CFL: 7.50e-01
i:  14500, sim time: 7.164 hours, wall time: 1.960 minutes, progress 1.4924246455266512, Δt: 1.780 seconds, CFL: 7.50e-01
i:  14600, sim time: 7.213 hours, wall time: 1.970 minutes, progress 1.5027242225052344, Δt: 1.780 seconds, CFL: 7.50e-01
i:  14700, sim time: 7.262 hours, wall time: 1.981 minutes, progress 1.5129914098623614, Δt: 1.780 seconds, CFL: 7.50e-01
i:  14800, sim time: 7.312 hours, wall time: 1.991 minutes, progress 1.5232908189865415, Δt: 1.780 seconds, CFL: 7.50e-01
i:  14900, sim time: 7.361 hours, wall time: 2.001 minutes, progress 1.5335903749713442, Δt: 1.780 seconds, CFL: 7.50e-01
i:  15000, sim time: 7.411 hours, wall time: 2.011 minutes, progress 1.5438894671388652, Δt: 1.780 seconds, CFL: 7.50e-01
i:  15100, sim time: 7.460 hours, wall time: 2.021 minutes, progress 1.55418939909122, Δt: 1.780 seconds, CFL: 7.50e-01
i:  15200, sim time: 7.509 hours, wall time: 2.032 minutes, progress 1.564456867553189, Δt: 1.780 seconds, CFL: 7.50e-01
i:  15300, sim time: 7.559 hours, wall time: 2.042 minutes, progress 1.574756953592936, Δt: 1.780 seconds, CFL: 7.50e-01
i:  15400, sim time: 7.608 hours, wall time: 2.052 minutes, progress 1.5850564832138012, Δt: 1.779 seconds, CFL: 7.50e-01
i:  15500, sim time: 7.658 hours, wall time: 2.063 minutes, progress 1.595353996619049, Δt: 1.780 seconds, CFL: 7.50e-01
i:  15600, sim time: 7.707 hours, wall time: 2.073 minutes, progress 1.6056526970680243, Δt: 1.779 seconds, CFL: 7.50e-01
i:  15700, sim time: 7.756 hours, wall time: 2.083 minutes, progress 1.6159220253851037, Δt: 1.779 seconds, CFL: 7.50e-01
i:  15800, sim time: 7.806 hours, wall time: 2.094 minutes, progress 1.6262194799690013, Δt: 1.780 seconds, CFL: 7.50e-01
i:  15900, sim time: 7.855 hours, wall time: 2.104 minutes, progress 1.6365182305007178, Δt: 1.780 seconds, CFL: 7.50e-01
i:  16000, sim time: 7.905 hours, wall time: 2.114 minutes, progress 1.6468145104343794, Δt: 1.779 seconds, CFL: 7.50e-01
i:  16100, sim time: 7.954 hours, wall time: 2.124 minutes, progress 1.6571112338598495, Δt: 1.779 seconds, CFL: 7.50e-01
i:  16200, sim time: 8.003 hours, wall time: 2.135 minutes, progress 1.6673875116405532, Δt: 1.779 seconds, CFL: 7.50e-01
i:  16300, sim time: 8.053 hours, wall time: 2.145 minutes, progress 1.6776867638572077, Δt: 1.780 seconds, CFL: 7.50e-01
i:  16400, sim time: 8.102 hours, wall time: 2.155 minutes, progress 1.687985233837625, Δt: 1.780 seconds, CFL: 7.50e-01
i:  16500, sim time: 8.152 hours, wall time: 2.165 minutes, progress 1.6982833297893056, Δt: 1.779 seconds, CFL: 7.50e-01
i:  16600, sim time: 8.201 hours, wall time: 2.176 minutes, progress 1.7085814577604028, Δt: 1.780 seconds, CFL: 7.50e-01
