Thu Aug 15 14:45:33 2024       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 545.23.08              Driver Version: 545.23.08    CUDA Version: 12.3     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-SXM2-32GB           On  | 00000000:62:00.0 Off |                    0 |
| N/A   34C    P0              58W / 300W |    393MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|    0   N/A  N/A     35136      C   julia                                       390MiB |
+---------------------------------------------------------------------------------------+
i:      0, sim time:  0 seconds, wall time:  0 seconds, progress        0.0, Δt: 1.778 seconds, CFL: 7.50e-01
i:  14000, sim time: 6.917 hours, wall time: 1.894 minutes, progress 1.4409867446337523, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14100, sim time: 6.966 hours, wall time: 1.904 minutes, progress 1.4512937814686828, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14200, sim time: 7.015 hours, wall time: 1.914 minutes, progress 1.461528524314239, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14300, sim time: 7.065 hours, wall time: 1.924 minutes, progress 1.4718355835390184, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14400, sim time: 7.114 hours, wall time: 1.934 minutes, progress 1.4821420051787797, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14500, sim time: 7.164 hours, wall time: 1.944 minutes, progress 1.4924489862859034, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14600, sim time: 7.213 hours, wall time: 1.954 minutes, progress 1.502756402234336, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14700, sim time: 7.262 hours, wall time: 1.965 minutes, progress 1.5129933947286163, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14800, sim time: 7.312 hours, wall time: 1.975 minutes, progress 1.523300599592898, Δt: 1.781 seconds, CFL: 7.50e-01
i:  14900, sim time: 7.361 hours, wall time: 1.985 minutes, progress 1.5336077476448096, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15000, sim time: 7.411 hours, wall time: 1.995 minutes, progress 1.543914932811907, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15100, sim time: 7.460 hours, wall time: 2.005 minutes, progress 1.5542222570705466, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15200, sim time: 7.509 hours, wall time: 2.016 minutes, progress 1.564458435466907, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15300, sim time: 7.559 hours, wall time: 2.026 minutes, progress 1.5747658596043153, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15400, sim time: 7.608 hours, wall time: 2.035 minutes, progress 1.5850729532453807, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15500, sim time: 7.658 hours, wall time: 2.046 minutes, progress 1.5953799199431513, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15600, sim time: 7.707 hours, wall time: 2.055 minutes, progress 1.6056869702132894, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15700, sim time: 7.756 hours, wall time: 2.066 minutes, progress 1.6159232504663095, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15800, sim time: 7.806 hours, wall time: 2.076 minutes, progress 1.6262304444949125, Δt: 1.781 seconds, CFL: 7.50e-01
i:  15900, sim time: 7.855 hours, wall time: 2.086 minutes, progress 1.6365376815076382, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16000, sim time: 7.905 hours, wall time: 2.096 minutes, progress 1.6468452085654333, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16100, sim time: 7.954 hours, wall time: 2.106 minutes, progress 1.657152123622075, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16200, sim time: 8.003 hours, wall time: 2.117 minutes, progress 1.6673881223437093, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16300, sim time: 8.053 hours, wall time: 2.127 minutes, progress 1.6776952420424047, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16400, sim time: 8.102 hours, wall time: 2.137 minutes, progress 1.6880022254769957, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16500, sim time: 8.152 hours, wall time: 2.147 minutes, progress 1.6983084691538732, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16600, sim time: 8.201 hours, wall time: 2.157 minutes, progress 1.7086150222843857, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16700, sim time: 8.250 hours, wall time: 2.167 minutes, progress 1.718853069864736, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16800, sim time: 8.300 hours, wall time: 2.177 minutes, progress 1.72915971619278, Δt: 1.781 seconds, CFL: 7.50e-01
i:  16900, sim time: 8.349 hours, wall time: 2.187 minutes, progress 1.7394664204888266, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17000, sim time: 8.399 hours, wall time: 2.197 minutes, progress 1.7497734650878398, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17100, sim time: 8.448 hours, wall time: 2.207 minutes, progress 1.7600806949362984, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17200, sim time: 8.498 hours, wall time: 2.217 minutes, progress 1.7703876356459078, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17300, sim time: 8.547 hours, wall time: 2.228 minutes, progress 1.7806242217957031, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17400, sim time: 8.596 hours, wall time: 2.238 minutes, progress 1.7909311996394162, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17500, sim time: 8.646 hours, wall time: 2.248 minutes, progress 1.8012379883296386, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17600, sim time: 8.695 hours, wall time: 2.257 minutes, progress 1.8115447857139515, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17700, sim time: 8.745 hours, wall time: 2.268 minutes, progress 1.8218516425759799, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17800, sim time: 8.794 hours, wall time: 2.278 minutes, progress 1.8319866762650239, Δt: 1.781 seconds, CFL: 7.50e-01
i:  17900, sim time: 8.843 hours, wall time: 2.288 minutes, progress 1.8422931029120622, Δt: 1.781 seconds, CFL: 7.50e-01
i:  18000, sim time: 8.892 hours, wall time: 2.298 minutes, progress 1.8526000733078185, Δt: 1.781 seconds, CFL: 7.50e-01
i:  18100, sim time: 8.942 hours, wall time: 2.308 minutes, progress 1.8629069411055201, Δt: 1.781 seconds, CFL: 7.50e-01
i:  18200, sim time: 8.991 hours, wall time: 2.318 minutes, progress 1.8732138075120335, Δt: 1.781 seconds, CFL: 7.50e-01
